Gaia,Prot,BP-RP,E_BP-RP_,RUWE
664499954009909760,1.34,2.9,0.3982999920845032,1.016
663904126083650048,15.49,1.898,0.11400000005960464,1.026
661120162641349248,18.33,2.471,0.28630000352859497,1.026
659721510835420544,0.51,3.06,0.36070001125335693,0.976
661492274311844352,1.93,2.934,0.3472000062465668,1.004
660924582714941184,0.56,3.211,,0.997
660983891919259776,1.06,3.007,,1.018
664518856162322304,1.16,3.013,0.3441999852657318,1.011
661091609698913024,15.9,2.575,0.29170000553131104,1.107
664770472526841472,13.66,1.645,0.18790000677108765,22.994
666026419751609344,0.86,2.977,0.3993000090122223,1.003
663070352672827136,13.07,1.595,0.20069999992847443,1.023
661026012662301568,0.35,3.144,,1.033
660309646476713216,0.69,3.164,0.5627999901771545,0.922
663131856604384384,5.23,2.749,,8.457
660996020906770560,13.18,1.603,0.1754000037908554,1.047
662291383044141824,12.37,2.197,0.21889999508857727,2.1
662930091923625216,3.25,3.215,0.23659999668598175,1.014
660965097142415872,1.37,3.074,,0.957
660976676374207616,3.21,2.825,0.3840000033378601,1.028
662624157110125440,0.24,3.273,,
664909835625008256,23.67,2.355,,1.025
664942404361149568,0.53,3.293,0.6521999835968018,1.07
663052962348209664,0.8,2.988,0.3183000087738037,1.115
662625978176332160,2.18,2.909,,1.06
659477762851395584,0.42,3.335,,
663765548961708032,1.61,2.93,0.3698999881744385,0.978
665594556492201728,1.34,2.939,0.4790000021457672,2.642
658475424859524992,15.49,2.632,0.34060001373291016,0.903
661186373859208832,16.33,2.48,0.31189998984336853,1.243
661504506378724224,1.51,3.049,0.41280001401901245,1.098
661591475172494464,2.25,3.034,,0.963
659230166577197056,18.55,2.192,0.23849999904632568,1.009
661010069743524480,0.77,3.173,0.43309998512268066,1.016
661048694385684224,18.22,2.724,0.32100000977516174,1.039
661690736160492928,1.11,2.962,0.40459999442100525,0.993
661527600418921600,0.67,3.216,0.6367999911308289,1.044
659331875699052544,2.01,3.026,,0.945
660970766499157504,0.31,3.271,,2.378
659532399131904768,0.91,2.424,0.27219998836517334,1.009
658618155212680832,1.42,3.017,0.4250999987125397,0.967
661458915302263296,1.39,2.919,,0.988
659254394489166848,0.68,2.913,0.3991999924182892,1.045
660317068180478336,14.59,2.905,0.5109999775886536,0.979
662769911119972224,0.36,2.861,,0.996
659257551288578304,0.61,3.129,0.3650999963283539,0.919
664366024046570112,16.51,2.068,0.1437000036239624,0.984
658602070559194496,2.18,3.033,0.5286999940872192,1.073
664991817960938112,1.59,2.974,0.44179999828338623,1.025
664641413053011328,0.46,3.029,0.3840999901294708,0.986
664414505637352832,0.33,3.358,,1.59
664625302630788608,1.21,1.018,0.17100000381469727,0.897
658506344327926784,1.19,3.003,0.3982999920845032,0.955
660928259206807808,18.84,2.203,0.30799999833106995,1.031
665240376308397440,38.07,2.45,0.27790001034736633,1.063
660196774736045184,12.37,1.244,0.05079999938607216,4.731
