index,TIC,GaiaID,bp_rp_corr,Median_Period,Period_err,LC_source,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,phot_g_mean_mag,ag_gspphot,bp_rp,ebpminrp,parallax,distance_gspphot,ruwe,radial_velocity,radial_velocity_error,vbroad,x,y,z,Type,HD,Vmag,B-V,V-I,MemF,comments,Voff(km/s),Vr(pred),rvdiff_x,simbadrvmem,rvdiff_y
838,146873970,2948154612416255232,0.8144641,8.439260647153253,0.45751321242689613,QLP,103.9258785639077,-14.812679009750775,226.63790001709373,-5.771619555963405,107.03796324448996,-37.431884066875405,-7.280478862262934,-17.696599264578985,9.37938,0.0716,0.8527641,0.0383,10.393528214028953,94.1086,3.40594,-11.11868,0.8359122,,-65.72610159051553,-69.59556200366454,-9.675587182048178,,,,,,,,3.415053423231442,-10.465224368829158,0.653455631170841,,
1729,147339266,6566237914427842944,0.7193632,5.991865035170878,0.15743772325443928,SPOC,326.1865988849541,-42.12955383900525,358.8534332947898,-49.35625524401979,313.6696748855916,-26.826426531369528,-7.863843856224678,2.0814015146707083,7.9095464,0.0,0.7193632,0.0,18.25481261927556,54.666,0.99950117,19.368872,0.12562607,7.58173,35.674061558980014,-0.7139819431215916,-41.565708851166335,,,,,,,,4.124338464945406,14.720022657325718,4.648849342674282,,
1488,148095486,5575863712040511488,1.6376497,15.297672609742946,0.25421159293027706,QLP,100.50027904743912,-39.87922068368333,248.8906270290071,-18.69182542333339,107.73684850291588,-62.67345601076862,-4.682967530897698,-31.778713668632825,12.836359,0.2356,1.7655497,0.1279,10.2358733643163,98.2604,1.1470469,-0.8229022,1.1595218,9.348578,-33.32922311661458,-86.33264746120335,-31.30928200471287,,,,,,,,2.496699886099087,-4.438072773278283,3.615170573278283,,
1254,149235305,4511848270986986752,2.8632979,5.451959256876745,0.04671405756521585,QLP,278.9701115142189,16.98460945602996,46.50682777964898,11.007331269821108,281.2373545278991,40.07461491789684,52.71849818402721,-66.8092157606002,12.569017,0.0015,2.8642979,0.001,29.245018445640163,34.267,1.0905364,16.554825,34.32745,,23.10157189905576,24.349788031008146,6.528790469933391,,,,,,,,3.654135002854869,9.656277228120338,6.898547771879663,,
1590,149484722,6003031637355425024,0.86034965,4.962518836771935,0.0,SPOC,232.7740039505304,-40.57647907367073,332.91944400350405,12.819368668345312,240.5444852951417,-20.8680765155746,53.232566788644064,-18.348952850538964,9.391388,0.1776,0.95514965,0.0948,15.70549976015221,63.8078,0.9449265,3.2803035,0.18670449,,55.27836904696718,-28.26370292661072,14.127416172046525,,,,,,,,4.293827676750663,9.363495759081268,6.083192259081267,,
1235,149783735,4460153013812201984,1.3774461999999998,,,,246.3671159594964,12.50929985782958,27.69236808965488,37.98754543202129,241.947846099984,33.67563048640075,42.31431306733393,-19.69742029460497,11.206349,0.2143,1.4898462,0.1124,14.915525988908072,67.6521,1.0673215,6.4119725,0.26643446,7.836225,46.787955522747055,24.556276285855827,41.26506626758778,,,,,,,,4.377182300012733,5.962553008356604,0.449419491643396,,
22,149852612,143872711402992384,1.0811844,9.30751822929462,0.1722222960160682,SPOC,44.68584817298675,40.0722177217886,147.83081489575574,-16.565569347509065,54.03479018605087,22.121813833396725,-56.4877095456241,-16.947420905232924,9.558518,0.0,1.0811844,0.0,20.826148387796465,47.9396,1.2110039,-6.039022,0.31173083,,-38.95803028578028,24.503929436818197,-13.690118184136074,,,,,,,,0.5348271306316249,-7.94115771657348,1.90213571657348,,
298,150171760,1016664118114259968,0.8334077400000001,5.85901165630613,0.055064768483356286,SPOC,137.1968745857717,52.39482641216858,165.52309224978495,41.88069443128246,122.76861754275684,34.18940841216263,7.4409454336818,18.9750403069648,9.711262,0.0306,0.84980774,0.0164,11.52525293102612,86.4503,1.0027577,-9.4806385,0.17691939,7.354325,-62.54928725673332,16.14945267857848,57.92339039822833,,,,,,,,2.7249547127623086,-14.595303723232217,5.114665223232217,,
300,150226097,1019750172375313536,1.1813545,4.074417157963659,0.0,SPOC,143.06206853940225,52.90885460742064,163.7964831914153,45.250226922707,126.56833308982564,35.9933152884986,46.607664283693694,13.611714260964323,9.228554,0.0,1.1813545,0.0,25.21035130904235,39.6272,1.0660583,-9.168862,0.17805792,8.980199,-26.816212439878715,7.792614847610202,28.170498506594303,,,,,,,,4.295579147046979,-14.26629401277642,5.097432012776419,,
554,150574628,1882467986695409152,0.830797,,,,337.2259230466533,29.568449434026164,89.29147987907166,-23.836719578079467,352.00655156684604,35.92099157138365,-10.871677707681094,-24.620757824647043,9.93533,0.1311,0.900897,0.0701,10.477316580252758,95.2045,1.1761672,1.9043859,0.4423704,,1.0795617938502968,87.29629514824691,-38.572051101314536,,,,,,,,3.5625916013301775,5.355879167485093,3.451493267485093,,
